Source,Target,Citation_Method,Weight_NumOfCite,Notes
P007,S076,"direct quote with quotation marks, narrative citation",1,"The narrative citation only lists the authors name, which is interesting because he provided thorough citations when citing statutes and legal treatises"
P007,S077,"direct quote with quotation marks, footnote (asterik, dagger), page number",2,
P007,S078,"direct quote with quotation marks, footnote (asterik, double dagger), page number, volume number",2,This entry only includes references that are not specifically to Calvin's case
P007,S079,"direct quote with quotation marks, narrative citation, footnote (asterisk, pilcrow, parallel lines)",8,Once cited within a discursive footnote
P007,S080,direct quote with quotation marks,1,"The citation would leave readers to believe that the quotation came from a report on Calvin's case, but it seems to be from John Adams's comments on the case"
P007,S081,narrative citation,1,
P007,S082,"direct quote with quotations, narratvie citation, footnote (dagger, section mark), page number",3,
P007,S083,"direct quote with quotaton marks, footnote (dagger), narrative citation",1,
P007,S084,"narrative citation, nested reference",1,Appears in a discursive footnote
P009,S040,narrative citation,1,
P009,S037,narrative citation,1,
P009,S016,"narrative citation, direct quote with quotation marks",2,"Author claimes that Locke is ""quoted partially by those who have read him, to mislead thousands who never read him."
P009,S012,"epigraph, direct quote, direct quote with quotation marks, narrative citation, chapter and verse, footnote (asterik)",5,Most invocations of Biblical scripture did not inlcude a citation and relied on audience knowledge 
P009,S086,"quote with quotation marks, vague narrative citation",1,
P009,S087,narrative citation,1,
P009,S088,narrative citation,1,
P009,S085,narrative citation,2,
P009,S052,"narrative citation, quotation with quotation marks",1,"Quotation attributed to ""Dr. Blackstone"" but does not seem to be an accurate quotation "
P009,S089,narrative citation,1,
P009,S090,"direct quote with quotation marks, narrative citation, footnote, narrative citation (postscript), excert included in postscript",1,
P009,P010,footnote (asterisk),1,Author directs readers to this text for more discussion on his point
P009,P011,footnote,1,"Author directs readers to this pamphlet for a ""defense of the general policy of the act"""
P009,S091,narrative citation,1,
P009,S092,footnote (dagger),1,Footnote within a discursive footnote
P009,S093,footnote (asterisk),1,
P009,S094,narrative citation,2,
P009,S102,direct quote,1,Quoted in latin without citation
P009,S097,"footnote (asterisk), ut supra, publication date",2,
P009,S037,narrative citation,1,
P009,S098,"all caps, direct quote, footnote (asterik)",1,
P009,S099,narrative citation,1,"Unclear what is actually beign referenced, but it is likely that the Book of Homilies"
P009,S100,"direct quote with quotation marks, narrative citation",1,
P009,S101,"direct quote with quotation marks, narrative citation",1,
P009,S095,extract included in postscript,1,
P009,S096,extract included in postscript,1,
P008,S085,narrative citation,2,
P008,S040,narrative citation,1,
P008,S037,narrative citation,1,
P008,S016,"direct quote with quotation marks, narrative citation",2,
P012,S103,"narrative citation, paraphrase",1,"The author quotes Archimedes, who was quoted in The Library of History"
P012,P009,"direct quote with quotation marks, narrative citation, paraphrase, page numbers, ",14,"The pamphlet is written in response to A Friendly Address to All Reasonable Americans. The author pulls out key points in thre pamphlet to respond to through quotation, paraphrase, and at one point, directing the audience to read specific pages and then return to the responding pamphlet."
P012,S104,"block quote, direct quote",1,
P012,S016,"direct quote with quotation marks, nested reference",1,The author comments on the use of Locke in A Friendly Address.
P012,S105,narrative citation,1,
P012,P013,narrative citation,1,
P012,S106,"block quote, modified quotation",1,"This is a fringe case for inclusion as it straddles the line between allusion and this project's criteria for inclusion as a textual reference. It is almost a direct quote of a contemporary satire poem, but a few words are changed to match the context of the pamphlet. "
P012,P014,narrative citation,1,"Author directs readers to this pamphlet for a ""unquestionable evidence"" to his point"
P012,S107,"block quote, direct quote",1,
P012,S012,narrative citation,1,
P012,S090,narrative citation,1,
P012,S108,"direct quote, vague narrative citation",1,
P002,S109,"direct quote, narrative citation",1,
